Account_id,Name,Timestamp,Credit/Debit,Amount
1201428,CR4,6/13/2012,C,$39
1201429,?AT,7/24/2014,C,$3
1201430,9S:,9/17/2012,D,$34
1201431,L/R,11/12/2014,C,$5
1201432,B=<,2/15/2014,D,$49
1201433,SBB,11/3/2012,C,$2
1201434,9RI,1/24/2014,C,$1
1201435,NB5,11/11/2013,C,$11
1201436,?>?,5/26/2014,D,$3
1201437,Y;6,1/9/2013,D,$2
1201438,QUJ,12/11/2014,C,$21
1201439,2@Z,12/14/2012,D,$24
1201440,=8<,12/17/2012,C,$37
1201441,M?P,5/4/2013,C,$18
1201442,UQN,3/11/2013,D,$6
1201443,D4;,8/4/2012,C,$46
1201444,9DP,12/19/2013,D,$22
1201445,1Q;,7/28/2014,C,$8
1201446,A0F,4/11/2012,C,$41
1201447,F5O,9/19/2012,C,$17
1201448,6J3,4/15/2012,D,$9
1201449,V4M,6/25/2014,C,$32
1201450,GNC,5/3/2014,C,$31
1201451,OFD,8/28/2012,D,$25
1201452,V;>,2/7/2012,C,$42
1201453,O-1,10/5/2013,D,$40
1201454,:ZL,11/21/2012,C,$30
1201455,VQ7,4/5/2012,C,$21
1201456,X?E,3/12/2012,C,$1
1201457,A?=,10/17/2012,D,$12
1201458,EAS,4/11/2013,D,$45
1201459,PBB,9/1/2012,C,$23
1201460,:XP,5/4/2013,D,$12
1201461,KQ0,4/24/2014,C,$33
1201462,X8D,7/6/2012,C,$37
1201463,V5X,7/26/2014,D,$27
1201464,E>N,8/16/2012,C,$37
1201465,BMV,6/4/2012,D,$50
1201466,0YS,4/18/2014,C,$43
1201467,DK:,7/25/2012,C,$35
1201468,@I2,8/21/2013,C,$43
1201469,LR5,10/9/2013,D,$10
1201470,CDC,12/28/2013,C,$4
1201471,M?J,10/7/2013,C,$6
1201472,7CV,3/17/2014,D,$49
1201473,W8R,10/9/2012,C,$34
1201474,LFW,9/3/2012,D,$38
1201475,EFB,8/2/2013,C,$32
1201476,XH/,4/7/2013,C,$36
1201477,05N,6/5/2013,C,$25
1201478,2ZM,12/26/2014,D,$48
1201479,B;<,8/28/2014,D,$16
1201480,UHV,9/17/2012,C,$45
1201481,US;,10/21/2013,D,$19
1201482,XQ9,6/19/2013,C,$33
1201483,IVY,10/8/2014,C,$36
1201484,-E.,2/11/2013,D,$21
1201485,Y@2,12/10/2014,C,$19
1201486,1;/,11/18/2014,D,$17
1201487,SQ=,12/23/2013,C,$44
1201488,36-,3/18/2013,C,$10
1201489,34J,7/10/2012,C,$20
1201490,C?F,1/9/2013,D,$17
1201491,<68,1/26/2013,C,$15
1201492,F/L,9/5/2013,C,$11
1201493,1C=,5/4/2012,D,$12
1201494,09H,10/5/2014,C,$14
1201495,=>K,11/3/2012,D,$15
1201496,?B>,3/15/2013,C,$22
1201497,@-P,8/17/2012,C,$30
1201498,SDQ,3/16/2014,C,$45
1201499,;D9,2/15/2013,D,$18
1201500,U4W,2/3/2014,D,$35
1201501,0N9,4/24/2014,C,$5
1201502,R7L,10/10/2012,D,$37
1201503,T1Y,3/22/2012,C,$37
1201504,;N?,12/22/2014,C,$11
1201505,A;.,6/20/2014,D,$12
1201506,MM5,5/15/2014,C,$23
1201507,MFZ,9/9/2014,D,$24
1201508,:2-,6/8/2014,C,$24
1201509,Z.Y,1/4/2013,C,$35
1201510,?WG,6/7/2013,C,$20
1201511,KB1,7/6/2013,D,$12
1201512,.I=,11/3/2014,C,$7
1201513,D6E,2/17/2013,C,$17
1201514,EE9,7/14/2013,D,$5
1201515,P.2,6/23/2014,C,$8
1201516,1S4,2/2/2012,D,$3
1201517,GJT,7/17/2014,C,$9
1201518,.:R,11/11/2012,C,$45
1201519,USA,7/5/2013,C,$44
1201520,JG2,9/23/2013,D,$16
1201521,MC5,4/26/2012,D,$49
1201522,M4-,10/14/2012,C,$6
1201523,KT5,6/24/2012,D,$40
1201524,Y72,3/16/2013,C,$16
1201525,Q>=,4/8/2014,C,$33
1201526,DBJ,9/11/2013,D,$44
1201527,Z1G,11/3/2012,C,$37
1201528,BOT,12/28/2012,D,$17
1201529,2HD,12/2/2012,C,$35
1201530,:=9,10/17/2012,C,$34
1201531,?F:,5/25/2014,C,$20
1201532,NSE,3/19/2013,D,$23
1201533,36X,3/26/2014,C,$31
1201534,1JJ,12/20/2014,C,$2
1201535,-V-,2/6/2013,D,$41
1201536,>F0,7/17/2013,C,$45
1201537,JFK,9/22/2013,D,$34
1201538,5T.,7/8/2012,C,$40
1201539,FJ-,9/21/2014,C,$47
1201540,F?E,11/4/2013,C,$34
1201541,PFH,2/3/2013,D,$2
1201542,J;C,8/9/2014,D,$39
1201543,@2V,11/24/2014,C,$2
1201544,:E1,2/20/2014,D,$47
1201545,.-K,10/24/2014,C,$8
1201546,?:N,7/25/2013,C,$36
1201547,ZO0,1/14/2013,D,$36
1201548,AVI,1/21/2014,C,$14
1201549,Q2X,1/11/2013,D,$3
1201550,J3/,10/24/2012,C,$31
1201551,VS5,9/10/2012,C,$12
1201552,8;=,1/1/2012,C,$30
1201553,VO2,12/25/2012,D,$45
1201554,YX/,2/21/2012,C,$16
1201555,F2E,11/10/2012,C,$21
1201556,6=8,1/15/2012,D,$48
1201557,DTS,10/22/2013,C,$35
1201558,7KN,4/5/2012,D,$28
1201559,:S8,5/18/2013,C,$18
1201560,D=Q,11/5/2013,C,$49
1201561,HG9,1/18/2014,C,$18
1201562,9.F,10/7/2014,D,$4
1201563,-FU,7/21/2013,D,$2
1201564,5E8,3/4/2012,C,$34
1201565,Q;D,8/23/2013,D,$28
1201566,L3H,1/28/2013,C,$16
1201567,9VC,3/7/2014,C,$23
1201568,7SX,3/3/2012,D,$14
1201569,<60,4/19/2014,C,$11
1201570,60?,4/8/2014,D,$42
1201571,YF<,1/5/2014,C,$41
1201572,A7C,9/19/2012,C,$22
1201573,M@2,1/22/2012,C,$14
1201574,H:U,12/17/2012,D,$10
1201575,/QV,9/1/2013,C,$9
1201576,X>Y,12/7/2014,C,$10
1201577,;Q0,3/17/2012,D,$26
1201578,@G?,10/14/2012,C,$10
1201579,W@9,9/26/2012,D,$46
1201580,8OY,6/13/2013,C,$41
1201581,O<.,8/20/2014,C,$23
1201582,<1-,11/5/2012,C,$43
1201583,P0Q,4/8/2012,D,$8
1201584,DH=,12/13/2014,D,$46
1201585,C8J,2/13/2014,C,$22
1201586,XOG,2/17/2012,D,$41
1201587,N?>,1/5/2013,C,$47
1201588,Z=N,4/24/2013,C,$17
1201589,A3Z,4/23/2012,D,$37
1201590,BMA,5/12/2012,C,$22
1201591,7W>,2/6/2014,D,$42
1201592,:3<,6/1/2014,C,$43
1201593,HJ1,3/27/2014,C,$6
1201594,U4A,10/14/2012,C,$28
1201595,.<O,7/7/2013,D,$24
1201596,CHJ,8/8/2013,C,$24
1201597,VH>,8/28/2014,C,$43
1201598,<Z7,5/19/2012,D,$45
1201599,APR,7/16/2012,C,$18
1201600,0VM,2/9/2013,D,$44
1201601,@WM,10/11/2013,C,$40
1201602,0:-,6/8/2012,C,$28
1201603,:8D,8/7/2013,C,$17
1201604,>QT,7/6/2012,D,$28
1201605,AOX,3/6/2013,D,$34
1201606,F@.,2/28/2012,C,$17
1201607,3@4,6/24/2013,D,$6
1201608,S1/,12/25/2012,C,$30
1201609,:<B,7/3/2013,C,$48
1201610,7E1,1/10/2014,D,$14
1201611,GOI,10/17/2012,C,$33
1201612,-PG,9/13/2012,D,$41
1201613,F7W,3/11/2013,C,$27
1201614,A.R,2/16/2013,C,$39
1201615,.29,3/21/2012,C,$35
1201616,=0@,10/26/2012,D,$18
1201617,</D,10/16/2013,C,$4
1201618,2GS,1/16/2013,C,$2
1201619,XM>,5/1/2013,D,$9
1201620,9SW,5/22/2012,C,$3
1201621,2C=,11/18/2014,D,$25
1201622,HU3,10/7/2014,C,$28
1201623,PII,4/11/2013,C,$2
1201624,XXO,9/23/2013,C,$29
1201625,9C>,12/2/2014,D,$50
1201626,<;>,10/18/2014,D,$14
1201627,JOL,9/24/2013,C,$9
1201628,RFK,9/16/2013,D,$20
1201629,Y-1,12/16/2013,C,$16
1201630,2B?,10/3/2013,C,$20
1201631,@NO,2/24/2012,D,$28
1201632,ASP,5/7/2012,C,$47
1201633,3P>,2/9/2014,D,$32
1201634,V3:,2/6/2014,C,$19
1201635,T@.,2/7/2014,C,$35
1201636,P91,8/2/2014,C,$31
1201637,-F-,2/11/2014,D,$20
1201638,USJ,2/4/2014,C,$40
1201639,PW@,9/6/2014,C,$31
1201640,6@N,9/14/2012,D,$4
1201641,/F3,1/17/2012,C,$35
1201642,I.X,5/17/2014,D,$25
1201643,?HL,9/16/2014,C,$30
1201644,FMX,4/12/2014,C,$47
1201645,QZ=,10/19/2014,C,$44
1201646,5>C,1/21/2014,D,$38
1201647,>..,11/11/2012,D,$37
1201648,/34,9/24/2014,C,$19
1201649,/KZ,11/25/2014,D,$19
1201650,??:,11/25/2013,C,$8
1201651,FOC,6/16/2013,C,$24
1201652,R9R,9/23/2012,D,$37
1201653,S3<,11/6/2012,C,$38
1201654,Z>9,8/28/2012,D,$4
1201655,M58,3/12/2013,C,$17
1201656,AU8,6/27/2012,C,$15
1201657,G6N,4/23/2014,C,$41
1201658,:AE,3/12/2014,D,$47
1201659,A-A,8/22/2013,C,$16
1201660,ISJ,4/9/2013,C,$12
1201661,;.9,7/20/2014,D,$39
1201662,HOP,6/7/2013,C,$15
1201663,LPW,12/19/2012,D,$13
1201664,14<,5/18/2014,C,$32
1201665,A<V,6/10/2014,C,$35
1201666,-XQ,7/20/2012,C,$21
1201667,0ZX,1/17/2012,D,$49
1201668,QGS,8/18/2013,D,$43
1201669,4IY,12/14/2012,C,$14
1201670,C6A,2/1/2012,D,$49
1201671,URQ,5/9/2012,C,$46
1201672,TXX,10/15/2014,C,$14
1201673,RI8,5/21/2013,D,$32
1201674,Q4N,3/12/2014,C,$17
1201675,K0F,12/11/2013,D,$32
1201676,7A2,4/23/2012,C,$27
1201677,UH>,4/8/2012,C,$33
1201678,?JI,4/18/2012,C,$38
1201679,O73,1/22/2013,D,$14
1201680,H<6,1/14/2012,C,$7
1201681,//>,8/17/2012,C,$12
1201682,4YK,3/22/2013,D,$9
1201683,WB0,11/17/2013,C,$33
1201684,<E5,9/5/2013,D,$33
1201685,W4Z,12/15/2012,C,$40
1201686,;RI,3/21/2012,C,$12
1201687,BT6,5/11/2012,C,$18
1201688,O<<,6/5/2014,D,$10
1201689,0@S,8/7/2014,D,$26
1201690,=5J,9/13/2013,C,$29
1201691,TZ<,5/4/2014,D,$21
1201692,?R=,10/25/2014,C,$26
1201693,AYG,9/15/2014,C,$49
1201694,PYQ,2/3/2013,D,$22
1201695,9TE,1/14/2013,C,$44
1201696,UR4,9/24/2012,D,$35
1201697,<-P,5/6/2013,C,$2
1201698,2FF,3/23/2012,C,$19
1201699,YK=,11/23/2013,C,$33
1201700,/M9,1/5/2014,D,$3
1201701,<JO,3/10/2013,C,$14
1201702,G-1,8/21/2013,C,$22
1201703,..3,9/7/2013,D,$18
1201704,;Z:,3/14/2013,C,$25
1201705,LH-,8/2/2012,D,$24
1201706,<;2,12/27/2012,C,$23
1201707,QD9,6/7/2014,C,$30
1201708,=Z3,8/23/2014,C,$37
1201709,RG:,10/9/2013,D,$45
1201710,/W;,1/3/2013,D,$20
1201711,3SB,11/25/2014,C,$19
1201712,P9W,5/17/2012,D,$38
1201713,PW>,11/3/2012,C,$20
1201714,Q4U,4/1/2013,C,$39
1201715,IR4,9/5/2014,D,$5
1201716,H?@,12/10/2014,C,$50
1201717,TWH,11/9/2014,D,$50
1201718,F/C,8/4/2014,C,$34
1201719,?R3,12/17/2012,C,$38
1201720,0E/,9/19/2013,C,$26
1201721,<WH,5/19/2013,D,$8
1201722,3?-,8/17/2012,C,$15
1201723,/1F,1/9/2012,C,$7
1201724,R?;,10/22/2014,D,$24
1201725,SU2,9/11/2014,C,$49
1201726,Q@B,9/12/2013,D,$3
1201727,8U2,6/15/2014,C,$5
1201728,7?U,1/19/2012,C,$41
1201729,P5R,9/22/2013,C,$25
1201730,D4Q,8/14/2013,D,$13
1201731,7T4,2/27/2014,D,$33
1201732,Y1T,5/10/2014,C,$31
1201733,<J:,10/4/2014,D,$50
1201734,NBF,3/14/2012,C,$4
1201735,A7W,8/3/2013,C,$13
1201736,05A,1/21/2014,D,$25
1201737,WG3,7/23/2013,C,$45
1201738,GMQ,4/6/2014,D,$23
1201739,3GJ,6/13/2012,C,$21
1201740,O9B,5/27/2012,C,$42
1201741,C3-,10/28/2013,C,$10
1201742,U>:,4/22/2012,D,$14
1201743,UXK,2/9/2013,C,$35
1201744,0X@,12/19/2014,C,$36
1201745,9R=,11/21/2013,D,$49
1201746,7YM,2/3/2014,C,$20
1201747,D>/,6/21/2012,D,$18
1201748,CUH,8/19/2014,C,$42
1201749,507,3/13/2012,C,$45
1201750,Z=?,6/17/2012,C,$13
1201751,FXM,3/4/2012,D,$46
1201752,XE=,6/22/2013,D,$41
1201753,E@R,2/14/2014,C,$32
1201754,.IF,7/5/2013,D,$39
1201755,937,1/11/2014,C,$20
1201756,4F2,2/28/2014,C,$36
1201757,Z5I,9/24/2013,D,$24
1201758,=@R,9/28/2012,C,$20
1201759,W34,4/2/2012,D,$13
1201760,56?,10/24/2014,C,$11
1201761,IW?,9/16/2014,C,$28
1201762,LVM,10/4/2012,C,$34
1201763,K:=,8/20/2012,D,$6
1201764,9N3,5/12/2013,C,$17
1201765,Q<1,2/7/2012,C,$41
1201766,P5G,10/6/2013,D,$39
1201767,34G,3/27/2013,C,$9
1201768,=<I,7/11/2014,D,$7
1201769,Y-A,1/22/2012,C,$21
1201770,MN4,6/16/2014,C,$21
1201771,7OT,10/10/2012,C,$14
1201772,2W5,6/12/2013,D,$48
1201773,2?G,11/28/2014,D,$37
1201774,E=K,7/6/2013,C,$43
1201775,/8.,11/4/2012,D,$41
1201776,JO2,6/8/2012,C,$42
1201777,MS9,12/28/2014,C,$38
1201778,FTH,1/1/2012,D,$24
1201779,HU9,2/13/2012,C,$15
1201780,//V,3/9/2013,D,$32
1201781,/5:,3/20/2012,C,$47
1201782,5HL,7/9/2012,C,$17
1201783,1BL,1/6/2012,C,$33
1201784,9-6,9/24/2012,D,$29
1201785,L?L,5/26/2013,C,$43
1201786,RXL,11/25/2013,C,$46
1201787,7DY,3/26/2014,D,$46
1201788,BTD,4/22/2012,C,$6
1201789,L7F,3/18/2014,D,$2
1201790,QO=,6/8/2013,C,$2
1201791,WDT,1/22/2013,C,$39
1201792,T5U,1/2/2013,C,$39
1201793,:>C,2/17/2013,D,$45
1201794,=>9,10/26/2012,D,$33
1201795,BOA,9/7/2013,C,$16
1201796,;JB,10/6/2013,D,$19
1201797,0SY,8/8/2013,C,$45
1201798,XB7,11/3/2013,C,$21
1201799,X>N,4/14/2012,D,$46
1201800,Y9W,7/26/2014,C,$32
1201801,@0V,3/16/2013,D,$19
1201802,;S6,3/4/2012,C,$19
1201803,TC-,3/24/2014,C,$13
1201804,YBH,8/6/2012,C,$13
1201805,5N/,10/2/2012,D,$22
1201806,8>X,7/10/2012,C,$44
1201807,DK9,12/28/2012,C,$14
1201808,E>:,11/26/2013,D,$7
1201809,/IH,8/13/2014,C,$15
1201810,E8A,1/19/2014,D,$15
1201811,5OS,4/16/2014,C,$13
1201812,;=Y,11/19/2012,C,$20
1201813,Z5D,8/28/2014,C,$26
1201814,RR=,10/11/2013,D,$4
1201815,M?/,12/10/2012,D,$3
1201816,.?2,1/13/2013,C,$5
1201817,NDA,11/26/2014,D,$12
1201818,;VT,6/5/2013,C,$42
1201819,3;/,8/5/2014,C,$8
1201820,.;C,6/23/2014,D,$44
1201821,4<V,12/27/2012,C,$3
1201822,6XO,11/20/2014,D,$8
1201823,3NZ,7/4/2014,C,$20
1201824,K1.,10/23/2012,C,$40
1201825,<SY,8/11/2012,C,$16
1201826,3LQ,2/12/2014,D,$37
1201827,R<X,10/17/2014,C,$32
1201828,4RK,10/28/2014,C,$9
1201829,S85,10/27/2014,D,$11
1201830,K=J,7/7/2013,C,$10
1201831,QJ1,11/2/2013,D,$24
1201832,M.A,9/19/2012,C,$6
1201833,>46,3/16/2013,C,$22
1201834,EHX,1/8/2014,C,$30
1201835,9Q>,11/13/2013,D,$3
1201836,>;M,2/24/2013,D,$45
1201837,:6<,2/1/2012,C,$38
1201838,93/,7/17/2012,D,$33
1201839,6P;,3/11/2014,C,$22
1201840,IVV,10/2/2014,C,$5
1201841,7FK,6/12/2014,D,$45
1201842,<<O,9/20/2012,C,$32
1201843,9L9,2/3/2014,D,$2
1201844,J?D,7/21/2012,C,$10
1201845,S75,9/17/2012,C,$33
1201846,2<K,11/15/2012,C,$35
1201847,.9P,7/18/2014,D,$12
1201848,IQ-,5/2/2014,C,$17
1201849,@U=,9/22/2012,C,$43
1201850,:?7,7/27/2013,D,$48
1201851,H3A,10/24/2014,C,$48
1201852,6-N,10/16/2012,D,$41
1201853,O<L,8/25/2013,C,$12
1201854,5H9,1/23/2014,C,$20
1201855,;<=,10/4/2013,C,$18
1201856,M2.,11/12/2013,D,$20
1201857,M7Y,8/21/2012,D,$9
1201858,W6B,6/4/2013,C,$40
1201859,-.W,8/10/2014,D,$4
1201860,W=R,2/23/2013,C,$5
1201861,4<T,9/21/2014,C,$41
1201862,0Q;,10/13/2014,D,$35
1201863,=R=,3/18/2013,C,$40
1201864,D-M,4/22/2013,D,$31
1201865,47I,12/11/2014,C,$33
1201866,=WN,5/1/2014,C,$4
1201867,=KZ,10/17/2012,C,$5
1201868,4YU,11/2/2013,D,$34
1201869,<8S,4/12/2012,C,$22
1201870,@=Y,10/11/2014,C,$48
1201871,;L>,8/14/2013,D,$34
1201872,1U=,1/16/2014,C,$30
1201873,.LE,1/11/2013,D,$33
1201874,87/,3/24/2014,C,$34
1201875,:7R,10/23/2014,C,$10
1201876,D?<,8/23/2014,C,$36
1201877,GGX,12/1/2012,D,$46
1201878,82;,7/11/2014,D,$23
1201879,GNH,11/23/2013,C,$11
1201880,IY.,7/21/2012,D,$3
1201881,AF.,7/22/2013,C,$10
1201882,JE5,12/8/2014,C,$23
1201883,DXZ,9/26/2014,D,$48
1201884,1A-,5/16/2012,C,$45
1201885,ATM,10/6/2014,D,$29
1201886,N15,3/14/2014,C,$30
1201887,6<Y,4/25/2013,C,$5
1201888,W9=,10/5/2013,C,$15
1201889,/A>,11/22/2012,D,$18
1201890,2@?,10/27/2012,C,$50
1201891,/8Q,9/15/2013,C,$47
1201892,VZP,7/19/2014,D,$1
1201893,R0G,4/9/2013,C,$31
1201894,:.6,11/27/2014,D,$8
